Employee ID,age group,Age,Gender,year band,Years at Company,job role,salary band,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,,,KPIS
49198,25-34,34,Male,6-10 years,7,Healthcare,high,8312,Good,Medium,Below Average,1,Yes,77,PhD,Single,0,Mid,Medium,27,No,No,No,Excellent,Low,Left,,,
60686,35-44,36,Male,10+  years,11,Technology,high,8085,Fair,Medium,Below Average,0,No,76,Bachelor’s Degree,Married,0,Entry,Medium,49,No,No,No,Good,Medium,Stayed,,,
14616,55+,48,Male,6-10 years,8,Education,medium,4317,Poor,High,Below Average,1,No,69,Master’s Degree,Married,4,Entry,Small,47,No,No,No,Good,Low,Left,,,
12605,18-24,20,Female,6-10 years,7,Media,medium,6532,Good,High,High,0,No,26,Associate Degree,Married,2,Entry,Medium,85,Yes,No,Yes,Poor,Medium,Stayed,,,
27617,55+,57,Male,10+  years,24,Media,medium,6219,Excellent,Low,Below Average,3,Yes,44,High School,Divorced,2,Entry,Medium,75,No,No,No,Excellent,High,Stayed,,,
23602,55+,46,Female,10+  years,26,Finance,high,8376,Fair,Very High,Low,1,No,77,Associate Degree,Single,1,Entry,Medium,94,No,No,No,Fair,Medium,Left,,,
20883,18-24,18,Female,6-10 years,8,Healthcare,high,7162,Fair,High,Below Average,1,No,46,Master’s Degree,Single,2,Entry,Large,64,Yes,No,Yes,Poor,Medium,Left,,,
64272,18-24,22,Male,0-2 years,1,Media,medium,6519,Poor,Medium,Average,2,No,68,Master’s Degree,Single,0,Entry,Medium,39,No,No,No,Good,Low,Left,,,
71141,25-34,26,Female,10+  years,16,Finance,medium,5785,Good,Very High,Below Average,1,No,78,Associate Degree,Single,0,Entry,Medium,70,No,No,No,Good,Low,Left,,,
62438,35-44,40,Female,10+  years,23,Finance,high,8585,Good,Medium,Average,2,Yes,78,Bachelor’s Degree,Married,5,Mid,Small,49,No,No,No,Poor,Low,Stayed,,,
55672,18-24,19,Female,6-10 years,7,Media,medium,5965,Good,Very High,Average,1,No,3,Bachelor’s Degree,Single,1,Senior,Medium,84,Yes,No,Yes,Good,Very High,Left,,,
18843,18-24,18,Female,3-5 years,5,Education,medium,5162,Good,Low,Average,0,Yes,82,PhD,Single,4,Senior,Large,38,No,No,No,Fair,High,Stayed,,,
59459,25-34,29,Male,10+  years,17,Media,medium,5450,Fair,Very High,High,0,No,41,High School,Married,2,Mid,Small,32,No,No,No,Good,Medium,Left,,,
56488,18-24,24,Male,3-5 years,4,Education,medium,3198,Fair,High,Average,1,No,22,Master’s Degree,Married,3,Senior,Medium,49,No,No,No,Good,Medium,Left,,,
11062,18-24,24,Male,10+  years,15,Finance,high,9551,Good,High,Average,0,Yes,40,Associate Degree,Single,0,Mid,Medium,54,No,No,No,Poor,High,Stayed,,,
70350,35-44,41,Male,10+  years,19,Technology,high,9587,Poor,Very High,Average,2,No,4,Bachelor’s Degree,Single,1,Mid,Small,32,No,No,No,Fair,Medium,Left,,,
25065,18-24,18,Male,6-10 years,9,Healthcare,high,8419,Good,Medium,High,0,No,84,High School,Single,2,Senior,Medium,38,No,No,No,Poor,Medium,Left,,,
59563,55+,55,Female,10+  years,43,Media,medium,5996,Fair,Medium,Average,0,Yes,99,Associate Degree,Single,1,Senior,Small,115,No,No,Yes,Good,High,Left,,,
6080,25-34,32,Female,10+  years,18,Technology,high,9434,Fair,Medium,High,0,No,83,Master’s Degree,Single,1,Mid,Medium,94,No,No,No,Excellent,Low,Left,,,
65256,55+,50,Female,10+  years,18,Technology,high,8935,Fair,Medium,Below Average,2,No,10,Master’s Degree,Married,1,Entry,Small,55,No,No,No,Good,High,Stayed,,,
55816,25-34,28,Male,10+  years,13,Technology,medium,6261,Fair,High,Average,1,No,62,Associate Degree,Married,1,Mid,Large,87,No,No,No,Good,Low,Left,,,
48154,18-24,18,Male,0-2 years,2,Technology,high,8865,Good,High,Average,2,No,59,Master’s Degree,Married,2,Mid,Large,52,No,Yes,No,Good,Low,Stayed,,,
19598,25-34,30,Male,0-2 years,2,Education,medium,3089,Poor,High,Average,0,Yes,35,Associate Degree,Married,0,Entry,Large,39,No,No,No,Poor,Low,Left,,,
45711,35-44,38,Male,6-10 years,10,Healthcare,medium,6138,Excellent,High,Average,0,Yes,35,High School,Married,2,Entry,Medium,71,No,No,No,Excellent,Medium,Stayed,,,
31921,55+,46,Male,6-10 years,6,Finance,high,7800,Good,Medium,Below Average,1,No,2,High School,Single,5,Entry,Large,44,No,No,No,Fair,Low,Left,,,
28968,25-34,27,Female,3-5 years,5,Media,high,7043,Fair,Medium,Below Average,0,No,39,Bachelor’s Degree,Married,0,Entry,Small,48,No,No,No,Good,High,Stayed,,,
42658,55+,59,Male,3-5 years,3,Healthcare,high,8326,Good,High,Low,1,No,71,Bachelor’s Degree,Married,0,Mid,Small,25,No,No,No,Excellent,Low,Left,,,
33024,25-34,34,Male,10+  years,19,Technology,high,7603,Fair,Very High,Average,1,Yes,20,Associate Degree,Single,0,Entry,Medium,69,No,No,No,Good,High,Left,,,
12971,55+,49,Male,10+  years,33,Finance,high,12628,Poor,High,Average,0,No,19,Associate Degree,Single,0,Mid,Small,80,Yes,No,No,Good,Medium,Stayed,,,
5719,55+,53,Male,3-5 years,4,Education,medium,3670,Fair,High,Average,0,No,31,High School,Single,0,Entry,Small,65,No,No,No,Good,Medium,Left,,,
9331,25-34,26,Male,10+  years,11,Technology,high,9280,Fair,Medium,Below Average,0,No,50,Master’s Degree,Divorced,0,Mid,Medium,83,No,No,No,Excellent,Medium,Left,,,
64168,55+,45,Male,6-10 years,9,Media,high,7242,Good,Very High,Average,0,Yes,37,Bachelor’s Degree,Single,3,Entry,Medium,63,Yes,No,No,Good,High,Left,,,
20332,18-24,20,Male,10+  years,11,Healthcare,high,9634,Excellent,High,Average,0,No,91,PhD,Divorced,1,Mid,Medium,37,Yes,No,No,Fair,Medium,Stayed,,,
11169,55+,52,Male,10+  years,17,Media,medium,5834,Fair,High,High,2,No,86,Associate Degree,Married,2,Mid,Medium,53,No,No,No,Excellent,Medium,Stayed,,,
30757,35-44,43,Female,10+  years,26,Education,medium,3973,Good,High,High,1,No,68,Associate Degree,Divorced,1,Mid,Medium,60,No,No,No,Good,Low,Left,,,
60983,18-24,18,Female,6-10 years,8,Media,medium,6010,Fair,High,Average,0,No,53,High School,Married,5,Mid,Medium,34,No,No,No,Good,Medium,Left,,,
26913,25-34,31,Male,0-2 years,1,Media,medium,5687,Good,Very High,Average,1,No,72,Associate Degree,Single,2,Entry,Large,15,No,No,No,Good,High,Left,,,
7546,18-24,22,Male,6-10 years,6,Education,medium,3963,Good,Very High,Average,0,No,64,Associate Degree,Married,3,Senior,Large,71,No,No,No,Good,Low,Stayed,,,
67990,55+,53,Female,10+  years,22,Media,medium,4939,Good,High,Average,1,Yes,50,Associate Degree,Single,2,Senior,Medium,76,Yes,No,No,Fair,Very High,Stayed,,,
34301,18-24,22,Male,10+  years,11,Finance,high,8595,Good,High,Average,2,Yes,50,Bachelor’s Degree,Single,2,Entry,Medium,54,No,No,No,Excellent,Low,Left,,,
14321,25-34,25,Male,6-10 years,8,Healthcare,high,8872,Fair,High,Average,0,Yes,46,Bachelor’s Degree,Single,0,Mid,Large,35,No,No,No,Good,Medium,Left,,,
53135,35-44,39,Male,10+  years,30,Healthcare,high,8296,Good,High,Average,0,No,22,Bachelor’s Degree,Married,1,Mid,Medium,35,No,Yes,No,Good,Low,Stayed,,,
14669,55+,54,Female,6-10 years,6,Education,medium,3631,Fair,High,High,0,Yes,38,PhD,Married,3,Entry,Medium,68,No,No,No,Poor,High,Left,,,
43491,55+,56,Female,3-5 years,4,Media,medium,6071,Poor,Medium,Average,1,Yes,82,Associate Degree,Single,2,Entry,Medium,12,No,No,Yes,Excellent,Low,Left,,,
54054,35-44,38,Male,10+  years,26,Education,medium,4419,Poor,High,Average,3,No,77,Master’s Degree,Single,0,Mid,Medium,97,No,No,No,Good,Low,Left,,,
7163,18-24,19,Male,3-5 years,5,Technology,high,7391,Fair,Low,Below Average,1,No,51,High School,Married,4,Entry,Medium,37,No,No,Yes,Poor,Low,Left,,,
26780,55+,57,Male,10+  years,45,Technology,high,10599,Good,Very High,Below Average,0,No,23,Bachelor’s Degree,Single,2,Senior,Medium,71,No,No,Yes,Good,High,Stayed,,,
13903,35-44,35,Male,6-10 years,8,Media,medium,6092,Good,Medium,Average,2,No,79,PhD,Single,0,Entry,Small,58,Yes,No,No,Fair,Low,Stayed,,,
6649,35-44,40,Male,10+  years,16,Healthcare,high,8727,Poor,High,High,2,No,35,High School,Divorced,2,Mid,Medium,65,No,No,No,Poor,Low,Stayed,,,
51846,35-44,41,Male,6-10 years,6,Healthcare,high,7252,Good,Medium,Average,2,No,14,Associate Degree,Divorced,0,Mid,Large,71,No,No,No,Poor,Low,Stayed,,,
26809,25-34,33,Male,6-10 years,6,Technology,high,11283,Good,Low,Average,3,No,8,Bachelor’s Degree,Married,0,Entry,Large,30,No,No,No,Good,Low,Stayed,,,
64951,35-44,42,Female,10+  years,22,Technology,high,9062,Fair,High,High,3,No,75,High School,Married,1,Entry,Medium,77,Yes,No,No,Fair,High,Stayed,,,
23719,55+,54,Male,0-2 years,1,Healthcare,high,7712,Excellent,Medium,Average,0,No,15,Bachelor’s Degree,Married,5,Mid,Large,40,No,No,No,Poor,Low,Stayed,,,
11190,25-34,33,Male,10+  years,23,Education,medium,5203,Good,High,Average,1,No,95,High School,Single,4,Mid,Small,98,No,No,Yes,Excellent,High,Stayed,,,
29869,18-24,21,Male,6-10 years,10,Technology,high,8493,Excellent,Low,High,0,Yes,89,Master’s Degree,Married,3,Mid,Medium,78,Yes,No,No,Good,Low,Stayed,,,
42562,55+,58,Male,6-10 years,8,Healthcare,high,8149,Excellent,Medium,Average,0,No,13,PhD,Married,3,Mid,Small,69,No,No,Yes,Fair,Medium,Stayed,,,
3032,35-44,36,Female,10+  years,26,Healthcare,high,9482,Poor,High,Below Average,2,No,44,Bachelor’s Degree,Married,4,Senior,Small,28,No,No,No,Fair,Medium,Stayed,,,
26880,25-34,27,Female,10+  years,12,Technology,high,8022,Fair,Medium,High,1,No,73,Bachelor’s Degree,Married,1,Senior,Small,30,No,No,No,Fair,Low,Left,,,
47539,25-34,32,Male,6-10 years,9,Technology,high,12240,Excellent,High,High,2,No,93,Associate Degree,Married,0,Senior,Small,73,No,No,Yes,Good,High,Stayed,,,
4786,55+,59,Female,10+  years,48,Healthcare,high,8196,Good,Medium,Average,0,No,62,Associate Degree,Married,0,Senior,Small,95,No,No,Yes,Good,Medium,Stayed,,,
68000,18-24,22,Female,6-10 years,7,Finance,high,10012,Good,Medium,High,1,No,99,Associate Degree,Married,0,Senior,Medium,43,No,No,No,Good,Medium,Stayed,,,
42053,35-44,43,Male,10+  years,23,Education,medium,3812,Excellent,High,Average,0,No,96,Bachelor’s Degree,Divorced,3,Senior,Medium,69,No,No,No,Fair,High,Stayed,,,
54995,18-24,22,Female,6-10 years,6,Finance,high,8767,Good,High,High,0,No,55,Associate Degree,Divorced,4,Mid,Large,63,No,No,No,Good,Low,Stayed,,,
1279,55+,55,Female,10+  years,25,Technology,high,9099,Poor,Low,High,0,No,42,Master’s Degree,Single,2,Entry,Medium,95,No,No,No,Good,Medium,Left,,,
13376,25-34,32,Male,10+  years,18,Healthcare,high,8052,Fair,High,Average,0,No,5,Bachelor’s Degree,Single,3,Entry,Small,33,Yes,No,No,Poor,Medium,Stayed,,,
13169,35-44,42,Male,6-10 years,7,Technology,high,7314,Good,High,High,3,Yes,28,Master’s Degree,Married,4,Mid,Small,38,No,No,No,Good,Low,Stayed,,,
33968,55+,56,Female,10+  years,35,Technology,high,9615,Poor,High,Average,1,No,25,Bachelor’s Degree,Married,0,Mid,Medium,73,No,No,No,Poor,High,Stayed,,,
25662,35-44,41,Male,10+  years,14,Technology,high,8118,Poor,Low,Average,1,No,3,Bachelor’s Degree,Single,4,Mid,Medium,63,No,No,No,Good,Low,Left,,,
34240,55+,57,Male,10+  years,13,Education,medium,4492,Fair,High,Average,3,Yes,27,Associate Degree,Married,5,Mid,Large,27,No,No,No,Good,Medium,Stayed,,,
72123,55+,59,Female,10+  years,24,Education,medium,3644,Fair,Low,Below Average,1,No,83,Bachelor’s Degree,Married,4,Entry,Medium,26,No,No,No,Good,High,Left,,,
11833,25-34,27,Female,6-10 years,10,Healthcare,high,9983,Poor,Very High,Average,0,No,14,High School,Married,0,Entry,Medium,49,No,No,No,Poor,High,Stayed,,,
63405,55+,51,Female,10+  years,41,Technology,high,8387,Good,High,Average,0,Yes,16,Associate Degree,Married,5,Mid,Medium,88,No,No,No,Fair,Medium,Stayed,,,
26938,55+,59,Male,6-10 years,9,Technology,high,10107,Fair,High,Average,0,Yes,22,High School,Married,3,Senior,Small,66,Yes,No,Yes,Good,Medium,Stayed,,,
49495,55+,50,Male,6-10 years,10,Media,medium,6493,Good,High,High,0,No,29,High School,Single,0,Mid,Small,72,Yes,No,No,Good,Low,Stayed,,,
13947,55+,56,Male,0-2 years,1,Healthcare,high,7758,Excellent,Very High,Average,0,No,14,Associate Degree,Married,2,Entry,Large,32,Yes,Yes,No,Good,Low,Stayed,,,
62520,55+,56,Female,10+  years,43,Media,medium,6357,Fair,Low,Average,1,No,90,High School,Single,0,Mid,Medium,44,No,No,No,Poor,High,Left,,,
52157,35-44,42,Male,10+  years,13,Education,medium,3816,Excellent,Low,Average,1,Yes,23,High School,Single,1,Entry,Medium,49,Yes,No,No,Good,Low,Stayed,,,
24543,18-24,22,Male,0-2 years,2,Finance,high,9492,Good,Very High,Low,1,No,93,High School,Single,1,Entry,Medium,47,No,No,No,Good,Low,Left,,,
54581,55+,57,Male,10+  years,24,Healthcare,high,9252,Good,Very High,Average,2,No,32,High School,Married,2,Mid,Medium,44,No,No,No,Good,Very High,Stayed,,,
1091,55+,57,Male,0-2 years,2,Finance,high,12142,Fair,Low,Low,1,No,16,High School,Married,1,Mid,Medium,67,No,No,No,Good,High,Stayed,,,
33481,35-44,35,Male,10+  years,24,Education,medium,3298,Fair,Very High,Average,1,No,7,Master’s Degree,Single,4,Entry,Medium,84,No,No,No,Good,High,Left,,,
11336,18-24,23,Female,3-5 years,5,Healthcare,high,7127,Poor,High,Average,1,Yes,5,Associate Degree,Married,1,Senior,Medium,55,No,No,Yes,Good,Low,Stayed,,,
2108,18-24,23,Male,10+  years,12,Healthcare,high,8423,Fair,Very High,Average,0,No,6,Associate Degree,Single,2,Senior,Medium,61,Yes,No,No,Fair,Low,Stayed,,,
6469,25-34,34,Female,3-5 years,5,Finance,high,10052,Fair,High,Below Average,0,Yes,25,Associate Degree,Married,5,Senior,Medium,59,No,No,No,Excellent,Low,Stayed,,,
66001,18-24,24,Male,10+  years,16,Healthcare,high,8331,Fair,High,Average,0,Yes,88,Bachelor’s Degree,Married,0,Entry,Medium,49,Yes,No,No,Fair,Medium,Stayed,,,
39357,55+,55,Male,10+  years,31,Education,medium,5768,Good,High,Average,0,No,39,Bachelor’s Degree,Married,1,Mid,Small,57,No,No,No,Excellent,High,Left,,,
29600,35-44,44,Female,3-5 years,4,Technology,high,10383,Fair,Medium,Below Average,0,No,11,Bachelor’s Degree,Single,4,Senior,Medium,51,No,No,No,Poor,Medium,Left,,,
34896,35-44,39,Male,6-10 years,10,Technology,high,11646,Excellent,Medium,Average,1,No,50,Bachelor’s Degree,Married,0,Mid,Large,24,No,No,No,Good,Low,Stayed,,,
49124,55+,46,Male,10+  years,23,Technology,high,7858,Excellent,Medium,Average,0,No,30,Associate Degree,Married,3,Entry,Medium,50,No,No,Yes,Good,Low,Stayed,,,
27997,55+,55,Female,6-10 years,10,Finance,high,7169,Good,High,Below Average,0,No,87,Bachelor’s Degree,Married,0,Mid,Large,33,Yes,No,No,Good,Low,Stayed,,,
31155,18-24,22,Female,6-10 years,9,Technology,high,9093,Good,High,Average,0,No,86,Bachelor’s Degree,Divorced,1,Entry,Small,33,No,No,No,Poor,High,Left,,,
38313,25-34,30,Female,10+  years,18,Technology,high,12018,Fair,Medium,Average,0,No,60,Master’s Degree,Divorced,1,Mid,Large,29,No,No,No,Poor,Medium,Left,,,
7135,25-34,29,Female,6-10 years,10,Media,medium,6547,Fair,Very High,Average,1,No,66,High School,Single,0,Mid,Medium,57,Yes,No,No,Fair,Medium,Stayed,,,
39553,35-44,36,Male,10+  years,11,Education,medium,3883,Excellent,Low,Below Average,2,Yes,26,Associate Degree,Divorced,1,Entry,Small,35,Yes,No,No,Poor,Low,Stayed,,,
6794,55+,49,Male,10+  years,30,Technology,high,10084,Fair,Very High,Average,3,No,31,PhD,Married,2,Entry,Medium,77,No,No,No,Good,Medium,Stayed,,,
14519,35-44,36,Female,10+  years,25,Media,medium,5680,Fair,Very High,Below Average,0,No,87,Master’s Degree,Single,4,Mid,Small,73,No,No,No,Poor,Low,Left,,,
14011,55+,53,Male,10+  years,18,Education,medium,5700,Excellent,Very High,High,0,No,35,Bachelor’s Degree,Married,0,Entry,Medium,34,No,No,No,Fair,Medium,Stayed,,,
16439,55+,49,Male,6-10 years,9,Technology,high,7204,Good,High,Below Average,1,Yes,82,Bachelor’s Degree,Single,0,Senior,Medium,19,No,No,No,Excellent,Medium,Left,,,
6335,18-24,19,Male,10+  years,11,Education,medium,4934,Fair,High,Average,2,No,32,Master’s Degree,Single,2,Entry,Large,79,Yes,Yes,No,Fair,Low,Left,,,
19394,35-44,43,Female,10+  years,17,Healthcare,high,8245,Poor,High,Low,1,No,18,Bachelor’s Degree,Single,2,Entry,Large,74,Yes,No,No,Fair,Low,Left,,,
71080,55+,49,Male,10+  years,13,Healthcare,high,7970,Fair,High,Average,0,No,53,Bachelor’s Degree,Married,4,Entry,Medium,21,Yes,No,No,Fair,High,Stayed,,,
60021,55+,49,Female,10+  years,13,Finance,high,8164,Good,High,High,1,No,95,Associate Degree,Single,0,Senior,Small,74,No,No,No,Fair,High,Left,,,
44982,18-24,24,Male,6-10 years,6,Healthcare,high,8635,Good,Low,Average,0,No,99,Associate Degree,Single,1,Senior,Medium,19,No,No,Yes,Poor,Low,Left,,,
8899,35-44,40,Female,3-5 years,4,Healthcare,medium,6097,Fair,Very High,Average,0,Yes,81,High School,Married,5,Entry,Small,48,No,No,No,Good,High,Left,,,
128,35-44,43,Female,6-10 years,10,Technology,high,10964,Excellent,Very High,High,0,No,94,Master’s Degree,Married,2,Entry,Medium,22,No,No,No,Good,Medium,Left,,,
69732,55+,58,Female,6-10 years,8,Education,medium,4021,Good,High,Average,3,Yes,78,Bachelor’s Degree,Married,1,Entry,Medium,65,No,No,No,Fair,High,Left,,,
46987,35-44,40,Female,10+  years,23,Technology,high,8471,Good,High,High,2,Yes,91,Associate Degree,Married,1,Entry,Small,30,No,No,No,Fair,Low,Left,,,
73607,55+,45,Female,0-2 years,1,Technology,high,7841,Excellent,High,Below Average,0,No,35,Bachelor’s Degree,Single,3,Mid,Medium,19,No,No,Yes,Good,Low,Left,,,
45755,35-44,39,Female,3-5 years,3,Education,medium,4428,Good,Low,Average,0,No,90,Master’s Degree,Single,0,Mid,Medium,50,No,Yes,Yes,Poor,Low,Stayed,,,
1881,25-34,29,Male,0-2 years,1,Technology,high,8703,Good,Very High,Below Average,1,Yes,12,Bachelor’s Degree,Married,4,Entry,Medium,74,Yes,No,No,Good,Medium,Stayed,,,
31115,18-24,22,Female,10+  years,14,Finance,high,8200,Good,Medium,Below Average,0,Yes,55,Bachelor’s Degree,Married,2,Mid,Medium,34,No,No,No,Good,Medium,Left,,,
15295,55+,51,Female,10+  years,42,Healthcare,medium,4830,Fair,High,High,0,No,53,Associate Degree,Single,0,Mid,Large,94,No,No,No,Good,Medium,Left,,,
15968,55+,55,Female,10+  years,21,Media,medium,6860,Good,Very High,Low,0,No,35,Bachelor’s Degree,Married,0,Entry,Medium,79,No,No,No,Excellent,Low,Left,,,
4666,35-44,35,Female,3-5 years,4,Finance,high,11105,Fair,High,Low,0,Yes,2,Master’s Degree,Single,0,Entry,Small,69,No,No,No,Good,High,Left,,,
45346,55+,51,Female,10+  years,35,Technology,high,11078,Poor,High,Average,1,Yes,22,Bachelor’s Degree,Divorced,0,Mid,Medium,70,Yes,No,No,Good,Low,Stayed,,,
17550,55+,55,Male,10+  years,41,Media,medium,5448,Poor,High,Average,0,No,5,Master’s Degree,Married,4,Senior,Medium,111,No,No,Yes,Fair,Medium,Stayed,,,
61929,55+,57,Male,10+  years,19,Finance,high,8851,Good,High,High,1,Yes,73,Associate Degree,Single,0,Entry,Medium,36,No,No,No,Fair,Low,Left,,,
832,55+,57,Female,10+  years,12,Media,medium,6217,Fair,Medium,Average,0,Yes,58,Associate Degree,Married,1,Mid,Medium,90,Yes,No,No,Good,Low,Stayed,,,
10269,25-34,29,Female,10+  years,17,Healthcare,medium,6642,Good,High,Average,0,Yes,75,Master’s Degree,Married,0,Entry,Medium,38,Yes,No,No,Fair,Medium,Stayed,,,
62491,25-34,25,Male,10+  years,17,Education,medium,4368,Good,Very High,Average,1,No,69,High School,Divorced,2,Senior,Medium,46,No,No,No,Good,Medium,Stayed,,,
41981,18-24,22,Female,0-2 years,2,Healthcare,high,9102,Good,High,Average,0,No,85,High School,Single,0,Senior,Small,16,No,No,No,Poor,Medium,Left,,,
43687,55+,49,Female,3-5 years,3,Technology,high,9599,Good,High,Below Average,1,No,4,Bachelor’s Degree,Divorced,3,Mid,Large,58,No,No,No,Fair,Medium,Stayed,,,
41828,35-44,37,Female,10+  years,13,Media,medium,5983,Fair,High,Average,0,No,11,Bachelor’s Degree,Married,0,Entry,Small,49,No,No,No,Good,High,Stayed,,,
70755,35-44,41,Female,10+  years,18,Finance,high,10901,Poor,Very High,Average,2,Yes,72,PhD,Divorced,1,Senior,Large,78,No,No,No,Good,Medium,Stayed,,,
9802,55+,49,Female,10+  years,16,Finance,high,9338,Fair,Very High,Average,0,No,49,High School,Married,1,Mid,Medium,25,No,No,Yes,Good,Medium,Stayed,,,
43886,55+,57,Female,6-10 years,8,Technology,high,8598,Good,High,Average,2,Yes,89,Master’s Degree,Married,3,Senior,Medium,69,No,No,No,Good,Medium,Left,,,
